,LATITUDE,LONGITUDE,FLOOR,BUILDINGID
0,4864981.697888468,-7594.6567686105145,1,0
1,4864982.591540001,-7595.999060000479,1,0
2,4864982.591540001,-7595.999060000479,1,0
3,4864981.789366743,-7594.869542765999,1,0
4,4864981.678186743,-7595.2573627662005,1,0
5,4864981.387286743,-7595.168262766683,1,0
6,4864981.969086742,-7595.346462765718,1,0
7,4864981.969086742,-7595.346462765718,1,0
8,4864982.702720001,-7595.611240000278,1,0
9,4864982.591540001,-7595.999060000479,1,0
10,4864979.853057327,-7595.024795728916,1,0
11,4864982.508940001,-7597.391420000046,1,0
12,4864980.87975481,-7595.542292297728,1,0
13,4864982.169520001,-7597.471440000087,1,0
14,4864961.575416667,-7635.000824445031,1,0
15,4864981.769080001,-7597.764680000396,1,0
16,4864982.482000001,-7596.381400000306,1,0
17,4864981.769080001,-7597.764680000396,1,0
18,4864981.769080001,-7597.764680000396,1,0
19,4864982.882440001,-7596.088159999997,1,0
20,4864981.393940002,-7599.073420000823,1,0
21,4864980.971920001,-7600.545800000431,1,0
22,4864981.158062515,-7600.419354841966,1,0
23,4864961.794740002,-7635.3893333340675,1,0
24,4864981.533202514,-7599.110614841539,1,0
25,4864982.593180001,-7595.993580000102,1,0
26,4864981.955222514,-7597.638234841931,1,0
27,4864981.222942513,-7600.193214841294,1,0
28,4864982.302280001,-7595.904480000585,1,0
29,4864981.769080001,-7597.764680000396,1,0
30,4864982.482000001,-7596.381400000306,1,0
31,4864982.482000001,-7596.381400000306,1,0
32,4864981.955222514,-7597.638234841931,1,0
33,4864981.19263346,-7600.233586434854,1,0
34,4864980.912682513,-7601.27581484105,1,0
35,4864980.912682513,-7601.27581484105,1,0
36,4864980.311522512,-7602.269314841289,1,0
37,4864980.311522512,-7602.269314841287,1,0
38,4864980.311522512,-7602.269314841287,1,0
39,4864980.311522512,-7602.269314841289,1,0
40,4864980.311522512,-7602.269314841289,1,0
41,4864980.311522512,-7602.269314841289,1,0
42,4864979.873882513,-7603.796154841143,1,0
43,4864979.873882513,-7603.796154841142,1,0
44,4864979.873882513,-7603.796154841143,1,0
45,4864980.537542513,-7602.584554841475,1,0
46,4864979.873882513,-7603.796154841143,1,0
47,4864980.537542513,-7602.584554841475,1,0
48,4864979.873882513,-7603.796154841143,1,0
49,4864979.873882513,-7603.796154841143,1,0
50,4864979.873882513,-7603.796154841143,1,0
51,4864979.873882513,-7603.796154841143,1,0
52,4864978.349502514,-7609.114054841654,1,0
53,4864978.349502514,-7609.114054841654,1,0
54,4864979.932380001,-7614.574680000544,1,0
55,4864978.55396,-7618.55020000115,1,0
56,4864980.27704,-7620.667720000446,1,0
57,4864981.117040001,-7621.245300000906,1,0
58,4864980.27704,-7620.667720000446,1,0
59,4864980.27704,-7620.667720000446,1,0
60,4864977.713959999,-7617.97262000069,1,0
61,4864977.911862513,-7610.640914841848,1,0
62,4864982.284200001,-7624.338100000471,1,0
63,4864985.52106,-7629.557440000028,1,0
64,4864979.72112,-7621.643000000715,1,0
